,number examples,sum bug,%bug,f1_score,precision_score,recall_score,roc_auc_score,accuracy_score,pr_auc_score,tn,fp,fn,tp
Real data,741,51.0,0.06882591093117409,0.12878787878787878,0.06882591093117409,1.0,0.5,0.06882591093117409,0.5344129554655871,0,690,0,51
BooleanExchange,55,9.0,0.16363636363636366,0.28125,0.16363636363636366,1.0,0.5,0.16363636363636366,0.5818181818181818,0,46,0,9
LoopExchange,48,6.0,0.125,0.2222222222222222,0.125,1.0,0.5,0.125,0.5625,0,42,0,6
PermuteStatement,49,5.0,0.1020408163265306,0.1851851851851852,0.1020408163265306,1.0,0.5,0.1020408163265306,0.5510204081632653,0,44,0,5
ReorderCondition,1561,304.0,0.19474695707879566,0.350733137829912,0.2134189864382584,0.9835526315789472,0.6120880961353263,0.2908392056374119,0.6000873464845798,155,1102,5,299
SwitchToIf,13,3.0,0.2307692307692308,0.375,0.2307692307692308,1.0,0.6,0.2307692307692308,0.6153846153846154,0,10,0,3
TryCatch,553,100.0,0.18083182640144665,0.3062787136294028,0.18083182640144665,1.0,0.5,0.18083182640144665,0.5904159132007233,0,453,0,100
UnusedStatement,857,130.0,0.1516919486581097,0.2634245187436677,0.1516919486581097,1.0,0.6812929848693261,0.1516919486581097,0.5758459743290548,0,727,0,130
VariableRenaming,2629,479.0,0.18219855458349182,0.3082368082368082,0.18219855458349182,1.0,0.5,0.18219855458349182,0.5910992772917459,0,2150,0,479
