,number examples,sum bug,%bug,f1_score,precision_score,recall_score,roc_auc_score,accuracy_score,pr_auc_score,tn,fp,fn,tp
Real data,1731,112.0,0.06470248411322935,0.3333333333333333,0.24380165289256198,0.5267857142857143,0.8428814082767141,0.8636626227614096,0.40060275349092894,1436,183,53,59
BooleanExchange,346,52.0,0.15028901734104047,0.3654822335025381,0.2482758620689655,0.6923076923076923,0.723639455782313,0.638728323699422,0.4934131644715659,185,109,16,36
LoopExchange,2754,401.0,0.14560639070442993,0.4309963099630996,0.3060796645702306,0.7281795511221946,0.8091130016013941,0.7200435729847494,0.5369190050865902,1691,662,109,292
PermuteStatement,726,127.0,0.174931129476584,0.5224719101123596,0.4061135371179039,0.7322834645669292,0.8432558200675666,0.7658402203856749,0.592614478803849,463,136,34,93
ReorderCondition,36408,6475.0,0.17784552845528456,0.4450476288026221,0.3329246801011417,0.6710424710424711,0.7682381153172587,0.7023731048121292,0.5312353883602046,21227,8706,2130,4345
SwitchToIf,123,39.0,0.3170731707317073,0.6386554621848739,0.475,0.9743589743589745,0.6510989010989011,0.6504065040650406,0.7287445278298937,42,42,1,38
TryCatch,2640,402.0,0.15227272727272728,0.43887623386484426,0.3158469945355191,0.7189054726368159,0.7952496231976844,0.7200757575757576,0.5387777487376827,1612,626,113,289
UnusedStatement,3512,468.0,0.13325740318906604,0.4988558352402746,0.3879003558718861,0.6987179487179487,0.8591463380392421,0.8129271070615034,0.563383184185578,2528,516,141,327
VariableRenaming,27720,4408.0,0.15901875901875903,0.4203062533001433,0.31483783478359134,0.6320326678765881,0.7949750551035306,0.7227633477633477,0.502692105586944,17249,6063,1622,2786
