,number examples,sum bug,%bug,f1_score,precision_score,recall_score,roc_auc_score,accuracy_score,pr_auc_score,tn,fp,fn,tp
Real data,1010,107.0,0.10594059405940594,0.4148936170212766,0.2899628252788104,0.7289719626168224,0.8323656347998881,0.7821782178217822,0.5238238295913807,712,191,29,78
BooleanExchange,281,32.0,0.11387900355871886,0.2978723404255319,0.1794871794871795,0.875,0.7467369477911647,0.5302491103202847,0.5343610274660098,121,128,4,28
LoopExchange,559,120.0,0.2146690518783542,0.5063938618925832,0.36531365313653136,0.825,0.7629081245254365,0.6547406082289803,0.6139403686076216,267,172,21,99
PermuteStatement,359,75.0,0.20891364902506965,0.5080645161290323,0.3641618497109825,0.84,0.7853990610328638,0.6601671309192201,0.6187940167774968,174,110,12,63
ReorderCondition,11145,2555.0,0.2292507851054285,0.5428463571158929,0.4000370919881306,0.8442270058708415,0.7848609519556942,0.6740242261103634,0.6399875895306526,5355,3235,398,2157
SwitchToIf,204,24.0,0.1176470588235294,0.26519337016574585,0.15286624203821655,1.0,0.7930555555555556,0.3480392156862745,0.5764331210191083,47,133,0,24
TryCatch,1941,425.0,0.21895929933024214,0.4898813677599441,0.3482142857142857,0.8258823529411765,0.7760810181592426,0.6233900051519835,0.6061106583282462,859,657,74,351
UnusedStatement,2416,512.0,0.2119205298013245,0.5614035087719298,0.4288659793814433,0.8125,0.8230267693014706,0.7309602649006622,0.6405505393595958,1350,554,96,416
VariableRenaming,12334,2384.0,0.19328684935949408,0.4916214884179399,0.3480460572226099,0.8368288590604027,0.7987479343023842,0.6654775417544998,0.6082068760108106,6213,3737,389,1995
