,number examples,sum bug,%bug,f1_score,precision_score,recall_score,roc_auc_score,accuracy_score,pr_auc_score,tn,fp,fn,tp
Real data,1676,165.0,0.09844868735083533,0.33761467889908264,0.24210526315789474,0.5575757575757576,0.7944046687924915,0.7846062052505967,0.4216185533262534,1223,288,73,92
BooleanExchange,753,50.0,0.06640106241699867,0.32291666666666663,0.2183098591549296,0.62,0.7857752489331437,0.8273572377158035,0.4317711314366945,592,111,19,31
LoopExchange,362,78.0,0.2154696132596685,0.4513618677042801,0.3240223463687151,0.7435897435897436,0.6959642470205849,0.6104972375690608,0.5614303543714946,163,121,20,58
PermuteStatement,430,62.0,0.14418604651162792,0.2693877551020408,0.18032786885245905,0.532258064516129,0.620047335203366,0.5837209302325581,0.3900138969168522,218,150,29,33
ReorderCondition,10184,1805.0,0.17723880597014927,0.39905677489570107,0.296655879180151,0.6094182825484764,0.7342881012053945,0.6746857816182247,0.4876501994817528,5771,2608,705,1100
SwitchToIf,366,15.0,0.04098360655737705,0.4905660377358491,0.34210526315789475,0.8666666666666667,0.9732193732193732,0.9262295081967212,0.6071182053494392,326,25,2,13
TryCatch,3747,701.0,0.18708299973311984,0.426829268292683,0.3072100313479624,0.6990014265335235,0.7848149580891381,0.6487856952228449,0.5312615869604921,1941,1105,211,490
UnusedStatement,4800,808.0,0.16833333333333333,0.4065804935370153,0.2974212034383954,0.6423267326732673,0.7662180797238041,0.684375,0.49997813472249797,2766,1226,289,519
VariableRenaming,18306,4360.0,0.2381732765213591,0.43914043295535643,0.3355956853714701,0.6350917431192661,0.7114246530194446,0.613623948432208,0.5287994118308592,8464,5482,1591,2769
