,number examples,sum bug,%bug,f1_score,precision_score,recall_score,roc_auc_score,accuracy_score,pr_auc_score,tn,fp,fn,tp
Real data,741,51.0,0.06882591093117409,0.3357664233576642,0.26744186046511625,0.4509803921568628,0.7420289855072464,0.8771929824561403,0.3781045136254295,627,63,28,23
BooleanExchange,55,9.0,0.16363636363636366,0.3243243243243243,0.21428571428571427,0.6666666666666666,0.7270531400966184,0.5454545454545454,0.4677489177489177,24,22,3,6
LoopExchange,48,6.0,0.125,0.2857142857142857,0.18181818181818185,0.6666666666666666,0.4484126984126984,0.5833333333333334,0.4450757575757576,24,18,2,4
PermuteStatement,49,5.0,0.1020408163265306,0.2857142857142857,0.1875,0.6,0.7045454545454546,0.6938775510204082,0.4141581632653061,31,13,2,3
ReorderCondition,1561,304.0,0.19474695707879566,0.4015345268542199,0.3284518828451883,0.5164473684210527,0.6228436544822678,0.7001921844971173,0.4695348274268424,936,321,147,157
SwitchToIf,13,3.0,0.2307692307692308,0.7499999999999999,0.6,1.0,0.9666666666666668,0.8461538461538461,0.8,8,2,0,3
TryCatch,553,100.0,0.18083182640144665,0.2949640287769784,0.2303370786516854,0.41,0.5886975717439293,0.6455696202531646,0.3735139281142694,316,137,59,41
UnusedStatement,857,130.0,0.1516919486581097,0.3716814159292036,0.3014354066985646,0.4846153846153846,0.6604168871018941,0.7514585764294051,0.432115243965026,581,146,67,63
VariableRenaming,2629,479.0,0.18219855458349182,0.29422066549912435,0.25339366515837103,0.35073068893528186,0.6282885857163665,0.693419551160137,0.361210142052532,1655,495,311,168
