,number examples,sum bug,%bug,f1_score,precision_score,recall_score,roc_auc_score,accuracy_score,pr_auc_score,tn,fp,fn,tp
Real data,4066,404.0,0.09936055090998523,0.4049459041731066,0.2943820224719101,0.6485148514851485,0.8179550751361319,0.8106246925725529,0.4889103159750861,3034,628,142,262
BooleanExchange,157,29.0,0.1847133757961784,0.36974789915966383,0.24444444444444444,0.7586206896551724,0.677801724137931,0.5222929936305732,0.5238255606803817,60,68,7,22
LoopExchange,370,122.0,0.3297297297297297,0.5185185185185186,0.3973799126637553,0.7459016393442623,0.6555393971443679,0.5432432432432432,0.6135326678959008,110,138,31,91
PermuteStatement,284,91.0,0.3204225352112676,0.6083333333333333,0.4899328859060403,0.8021978021978022,0.7704834026077549,0.6690140845070423,0.6777554848969917,117,76,18,73
ReorderCondition,9048,2572.0,0.28426171529619804,0.5369807497467072,0.4277150103758358,0.7212286158631416,0.7493289614866999,0.6464412024756853,0.6140938290346081,3994,2482,717,1855
SwitchToIf,94,11.0,0.11702127659574467,0.4166666666666667,0.2702702702702703,0.9090909090909092,0.8729463307776558,0.7021276595744681,0.5949997386167598,56,27,1,10
TryCatch,3313,977.0,0.2948988831874434,0.5291005291005292,0.40365984930032295,0.7676560900716479,0.7359052733416526,0.5970419559311801,0.6199169494626229,1228,1108,227,750
UnusedStatement,4934,1332.0,0.2699635184434536,0.5367706919945726,0.42031449213769656,0.7424924924924925,0.7621741675045395,0.6540332387515201,0.61616230869126,2238,1364,343,989
VariableRenaming,20030,5476.0,0.27338991512730904,0.5180153955624557,0.40108183912651507,0.7311906501095691,0.7496149449926437,0.6280079880179731,0.602881127294028,8575,5979,1472,4004
