,number examples,sum bug,%bug,f1_score,precision_score,recall_score,roc_auc_score,accuracy_score,pr_auc_score,tn,fp,fn,tp
Real data,1827,165.0,0.090311986863711,0.3197278911564625,0.196652719665272,0.8545454545454545,0.8424133027021115,0.6715927750410509,0.5321672316045423,1086,576,24,141
BooleanExchange,215,23.0,0.10697674418604652,0.0,0.0,0.0,0.7309782608695652,0.8930232558139535,0.5534883720930233,192,0,23,0
LoopExchange,750,90.0,0.12,0.0,0.0,0.0,0.7796296296296297,0.88,0.56,660,0,90,0
PermuteStatement,499,50.0,0.1002004008016032,0.1891891891891892,0.1047008547008547,0.98,0.7985746102449888,0.15831663326653306,0.5433524313584434,30,419,1,49
ReorderCondition,11665,1314.0,0.11264466352336047,0.2762958143569725,0.1611026808295397,0.969558599695586,0.7748353198471841,0.42786112301757395,0.5670451709097981,3717,6634,40,1274
SwitchToIf,67,4.0,0.05970149253731344,0.11267605633802814,0.05970149253731344,1.0,0.634920634920635,0.05970149253731344,0.5298507462686567,0,63,0,4
TryCatch,2919,398.0,0.13634806440561836,0.00997506234413965,0.6666666666666666,0.005025125628140704,0.7860055932179741,0.8639945186707777,0.4036773452738168,2520,1,396,2
UnusedStatement,3977,463.0,0.1164194116167966,0.43714050944946586,0.35278514588859416,0.5745140388768899,0.8169027069752463,0.8277596178023636,0.4884170050053219,3026,488,197,266
VariableRenaming,19140,2407.0,0.12575757575757576,0.29475740801042005,0.17477602718566573,0.9401744910677191,0.7909383801617879,0.43422152560083593,0.5612370146125859,6048,10685,144,2263
