,number examples,sum bug,%bug,f1_score,precision_score,recall_score,roc_auc_score,accuracy_score,pr_auc_score,tn,fp,fn,tp
Real data,1010,107.0,0.10594059405940594,0.3508771929824562,0.22922636103151864,0.7476635514018691,0.8053839227497127,0.7069306930693069,0.5018112928503573,634,269,27,80
BooleanExchange,281,32.0,0.11387900355871886,0.2044728434504792,0.11387900355871886,1.0,0.5,0.11387900355871886,0.5569395017793595,0,249,0,32
LoopExchange,559,120.0,0.2146690518783542,0.35346097201767296,0.2146690518783542,1.0,0.5,0.2146690518783542,0.6073345259391771,0,439,0,120
PermuteStatement,359,75.0,0.20891364902506965,0.0,0.0,0.0,0.7582629107981221,0.7910863509749304,0.6044568245125348,284,0,75,0
ReorderCondition,11145,2555.0,0.2292507851054285,0.37299270072992696,0.2292507851054285,1.0,0.5,0.2292507851054285,0.6146253925527142,0,8590,0,2555
SwitchToIf,204,24.0,0.1176470588235294,0.0,0.0,0.0,0.7122685185185185,0.8823529411764706,0.5588235294117647,180,0,24,0
TryCatch,1941,425.0,0.21895929933024214,0.3459119496855346,0.5213270142180095,0.25882352941176473,0.756139996895856,0.7856774858320453,0.4712190121549181,1415,101,315,110
UnusedStatement,2416,512.0,0.2119205298013245,0.0,0.0,0.0,0.8072130219275211,0.7880794701986755,0.6059602649006622,1904,0,512,0
VariableRenaming,12334,2384.0,0.19328684935949408,0.0,0.0,0.0,0.7650373090283632,0.806713150640506,0.5966434246797471,9950,0,2384,0
