,number examples,sum bug,%bug,f1_score,precision_score,recall_score,roc_auc_score,accuracy_score,pr_auc_score,tn,fp,fn,tp
Real data,1172,61.0,0.05204778156996587,0.2309582309582309,0.13583815028901733,0.7704918032786885,0.8133198565758216,0.7329351535836177,0.4591376730295868,812,299,14,47
BooleanExchange,127,14.0,0.11023622047244094,0.20895522388059687,0.11666666666666667,1.0,0.6466498103666245,0.16535433070866146,0.5583333333333333,7,106,0,14
LoopExchange,117,15.0,0.1282051282051282,0.0,0.0,0.0,0.8490196078431372,0.8717948717948718,0.5641025641025641,102,0,15,0
PermuteStatement,202,28.0,0.13861386138613865,0.29629629629629634,0.17391304347826084,1.0,0.7590311986863711,0.3415841584158416,0.5869565217391304,41,133,0,28
ReorderCondition,4832,586.0,0.12127483443708607,0.0,0.0,0.0,0.7192491146053543,0.8787251655629139,0.5606374172185431,4246,0,586,0
SwitchToIf,38,6.0,0.15789473684210525,0.0,0.0,0.0,0.625,0.8421052631578947,0.5789473684210527,32,0,6,0
TryCatch,1432,172.0,0.12011173184357544,0.2202304737516005,0.1237410071942446,1.0,0.6606519933554817,0.1494413407821229,0.5618705035971223,42,1218,0,172
UnusedStatement,1965,214.0,0.1089058524173028,0.0,0.0,0.0,0.7358839007883347,0.8910941475826972,0.5544529262086514,1751,0,214,0
VariableRenaming,8506,1008.0,0.11850458499882435,0.2495769881556684,0.21755162241887904,0.2926587301587302,0.6931481993081753,0.7914413355278627,0.29701676810634514,6437,1061,713,295
