,number examples,sum bug,%bug,f1_score,precision_score,recall_score,roc_auc_score,accuracy_score,pr_auc_score,tn,fp,fn,tp
Real data,3055,263.0,0.08608837970540098,0.3735498839907192,0.2687813021702838,0.6121673003802282,0.8265011657424254,0.8232405891980359,0.4571682456287748,2354,438,102,161
BooleanExchange,127,39.0,0.3070866141732284,0.5496183206106869,0.39130434782608703,0.9230769230769232,0.6958041958041957,0.5354330708661418,0.6690016590735522,32,56,3,36
LoopExchange,278,109.0,0.3920863309352518,0.5782312925170069,0.4594594594594595,0.7798165137614679,0.671407632593236,0.5539568345323741,0.6628034542363629,69,100,24,85
PermuteStatement,127,38.0,0.2992125984251969,0.5555555555555556,0.4807692307692308,0.6578947368421053,0.7743938497930218,0.6850393700787402,0.6205130861678727,62,27,13,25
ReorderCondition,2833,884.0,0.31203671020120016,0.5357142857142856,0.4125916870415648,0.7635746606334841,0.7235878011464285,0.5870102364984116,0.6249698663895895,988,961,209,675
SwitchToIf,48,28.0,0.5833333333333334,0.7714285714285715,0.6428571428571429,0.9642857142857144,0.6732142857142858,0.6666666666666666,0.8139880952380952,5,15,1,27
TryCatch,2770,751.0,0.27111913357400724,0.4778619864379737,0.3411161731207289,0.7976031957390146,0.6876451342077164,0.5274368231046931,0.5967965075345648,862,1157,152,599
UnusedStatement,4001,997.0,0.24918770307423144,0.4843381609969686,0.364604462474645,0.7211634904714143,0.7142242306146136,0.6173456635841039,0.5776252911443618,1751,1253,278,719
VariableRenaming,12757,3642.0,0.2854903190405268,0.49324840764331207,0.35706381409074145,0.7973640856672158,0.6937661969531428,0.532256800188132,0.6061392457949464,3886,5229,738,2904
