,number examples,sum bug,%bug,f1_score,precision_score,recall_score,roc_auc_score,accuracy_score,pr_auc_score,tn,fp,fn,tp
Real data,1172,61.0,0.05204778156996587,0.23076923076923075,0.18947368421052632,0.29508196721311475,0.8187351522037449,0.8976109215017065,0.26062253560943144,1034,77,43,18
BooleanExchange,127,14.0,0.11023622047244094,0.19607843137254904,0.13513513513513514,0.35714285714285715,0.5872313527180784,0.6771653543307087,0.2815720670051378,81,32,9,5
LoopExchange,117,15.0,0.1282051282051282,0.2962962962962963,0.20512820512820512,0.5333333333333333,0.6620915032679738,0.6752136752136753,0.3991452991452991,71,31,7,8
PermuteStatement,202,28.0,0.13861386138613865,0.33333333333333337,0.2894736842105263,0.3928571428571429,0.7707307060755336,0.7821782178217822,0.3832446214546267,147,27,17,11
ReorderCondition,4832,586.0,0.12127483443708607,0.2403904820012203,0.18708452041785376,0.3361774744027304,0.6908019432865142,0.7423427152317881,0.30188348085400063,3390,856,389,197
SwitchToIf,38,6.0,0.15789473684210525,0.0,0.0,0.0,0.46875,0.5789473684210527,0.07894736842105263,22,10,6,0
TryCatch,1432,172.0,0.12011173184357544,0.2077393075356416,0.15987460815047022,0.2965116279069768,0.685204411221853,0.7283519553072626,0.2704417213806788,992,268,121,51
UnusedStatement,1965,214.0,0.1089058524173028,0.249554367201426,0.2017291066282421,0.3271028037383177,0.7668141569303523,0.7857506361323155,0.3010571765573257,1474,277,144,70
VariableRenaming,8506,1008.0,0.11850458499882435,0.25389284771707576,0.1729593671341244,0.4771825396825397,0.6832951750096321,0.6676463672701622,0.35604908649086203,5198,2300,527,481
