,number examples,sum bug,%bug,f1_score,precision_score,recall_score,roc_auc_score,accuracy_score,pr_auc_score,tn,fp,fn,tp
Real data,2602,144.0,0.05534204458109147,0.4361948955916473,0.3275261324041812,0.6527777777777778,0.8841311816291475,0.906610299769408,0.4997599489418634,2265,193,50,94
BooleanExchange,301,18.0,0.05980066445182725,0.3661971830985916,0.2452830188679245,0.7222222222222222,0.8276403612092659,0.8504983388704319,0.4920582683856049,243,40,5,13
LoopExchange,699,43.0,0.061516452074391985,0.12162162162162166,0.07114624505928854,0.4186046511627907,0.6141874645490639,0.6280400572246065,0.26275813766754896,421,235,25,18
PermuteStatement,328,28.0,0.08536585365853659,0.20161290322580644,0.11363636363636365,0.8928571428571429,0.7997619047619048,0.39634146341463417,0.5078199239784605,105,195,3,25
ReorderCondition,12669,1061.0,0.0837477306811903,0.19628206459653133,0.11029411764705882,0.8906691800188501,0.742434285951838,0.3891388428447392,0.5050597528664221,3985,7623,116,945
SwitchToIf,97,12.0,0.12371134020618554,0.24742268041237114,0.1411764705882353,1.0,0.7294117647058823,0.24742268041237114,0.5705882352941176,12,73,0,12
TryCatch,2238,166.0,0.0741733690795353,0.1382757184506456,0.07427293064876958,1.0,0.6931345071405312,0.07551385165326184,0.5371364653243847,3,2069,0,166
UnusedStatement,2856,208.0,0.07282913165266107,0.1852043455768236,0.103768115942029,0.8605769230769231,0.6958589937253079,0.4485294117647059,0.487249550321801,1102,1546,29,179
VariableRenaming,14361,1046.0,0.07283615347120674,0.15285575267609852,0.0829204905384553,0.9760994263862333,0.7180684387495522,0.2119629552259592,0.5303803713862354,2023,11292,25,1021
