,number examples,sum bug,%bug,f1_score,precision_score,recall_score,roc_auc_score,accuracy_score,pr_auc_score,tn,fp,fn,tp
Real data,2405,267.0,0.11101871101871102,0.3269493844049248,0.2,0.8951310861423221,0.8186559947866852,0.5908523908523908,0.5533867488923668,1182,956,28,239
BooleanExchange,363,109.0,0.3002754820936639,0.461864406779661,0.3002754820936639,1.0,0.5,0.3002754820936639,0.6501377410468321,0,254,0,109
LoopExchange,286,65.0,0.2272727272727273,0.3703703703703704,0.2272727272727273,1.0,0.5,0.2272727272727273,0.6136363636363636,0,221,0,65
PermuteStatement,272,67.0,0.2463235294117647,0.3952802359882006,0.2463235294117647,1.0,0.7405169275573352,0.2463235294117647,0.6231617647058824,0,205,0,67
ReorderCondition,6562,1955.0,0.2979274611398964,0.4590818363273453,0.2979274611398964,1.0,0.7559244050391459,0.2979274611398964,0.6489637305699482,0,4607,0,1955
SwitchToIf,9,2.0,0.2222222222222222,0.3636363636363636,0.2222222222222222,1.0,0.2857142857142857,0.2222222222222222,0.6111111111111112,0,7,0,2
TryCatch,2487,643.0,0.2585444310414153,0.4108626198083067,0.2585444310414153,1.0,0.6960150696808277,0.2585444310414153,0.6292722155207077,0,1844,0,643
UnusedStatement,3173,785.0,0.2473999369681689,0.39666498231430014,0.2473999369681689,1.0,0.7449452677399737,0.2473999369681689,0.6236999684840845,0,2388,0,785
VariableRenaming,13963,3938.0,0.2820310821456707,0.43997542036757725,0.2820310821456707,1.0,0.7224287934303398,0.2820310821456707,0.6410155410728353,0,10025,0,3938
