,number examples,sum bug,%bug,f1_score,precision_score,recall_score,roc_auc_score,accuracy_score,pr_auc_score,tn,fp,fn,tp
Real data,1435,132.0,0.09198606271777003,0.4808184143222506,0.3629343629343629,0.7121212121212122,0.8735086862485175,0.8585365853658536,0.5507682056462544,1138,165,38,94
BooleanExchange,88,26.0,0.2954545454545455,0.6551724137931033,0.59375,0.7307692307692307,0.8337468982630273,0.7727272727272727,0.7020323426573426,49,13,7,19
LoopExchange,568,86.0,0.15140845070422534,0.4104234527687297,0.2850678733031674,0.7325581395348837,0.7772121972401813,0.6813380281690141,0.5290594852922651,324,158,23,63
PermuteStatement,158,32.0,0.20253164556962025,0.4235294117647059,0.33962264150943394,0.5625,0.7663690476190477,0.689873417721519,0.4953651182230714,91,35,14,18
ReorderCondition,3713,563.0,0.15162941018044707,0.52,0.4083080040526849,0.7158081705150977,0.8483932448053229,0.7996229464045247,0.5836040070253403,2566,584,160,403
SwitchToIf,49,8.0,0.16326530612244894,0.6956521739130436,0.5333333333333333,1.0,0.853658536585366,0.8571428571428571,0.7666666666666666,34,7,0,8
TryCatch,1857,321.0,0.172859450726979,0.4580645161290323,0.3497536945812808,0.6635514018691588,0.7992783781152648,0.72859450726979,0.5357317081605995,1140,396,108,213
UnusedStatement,3521,641.0,0.1820505538199375,0.5260635110844817,0.4270428015564202,0.6848673946957878,0.8415973305598891,0.7753479125248509,0.5846401307872798,2291,589,202,439
VariableRenaming,6790,1174.0,0.17290132547864506,0.478180700676091,0.37403846153846154,0.6626916524701874,0.821786105165577,0.7499263622974963,0.5475255871957825,4314,1302,396,778
