,number examples,sum bug,%bug,f1_score,precision_score,recall_score,roc_auc_score,accuracy_score,pr_auc_score,tn,fp,fn,tp
Real data,2602,144.0,0.05534204458109147,0.4642857142857143,0.36693548387096775,0.6319444444444444,0.8567687144019527,0.9192928516525748,0.5096244376396429,2301,157,53,91
BooleanExchange,301,18.0,0.05980066445182725,0.4166666666666667,0.8333333333333334,0.2777777777777778,0.8111503729878288,0.9534883720930232,0.5771502399409376,282,1,13,5
LoopExchange,699,43.0,0.061516452074391985,0.1842105263157895,0.21212121212121213,0.16279069767441862,0.6472986386840612,0.9113018597997141,0.2132070278591888,630,26,36,7
PermuteStatement,328,28.0,0.08536585365853659,0.2777777777777778,0.625,0.17857142857142858,0.7504761904761905,0.9207317073170732,0.4368466898954704,297,3,23,5
ReorderCondition,12669,1061.0,0.0837477306811903,0.2866972477064221,0.3660322108345535,0.235626767200754,0.7095132805156963,0.901807561764938,0.33283675083784475,11175,433,811,250
SwitchToIf,97,12.0,0.12371134020618554,0.26666666666666666,0.6666666666666666,0.16666666666666666,0.6549019607843137,0.8865979381443299,0.468213058419244,84,1,10,2
TryCatch,2238,166.0,0.0741733690795353,0.19801980198019808,0.21897810218978106,0.18072289156626506,0.6223397450807089,0.8914209115281502,0.230234768549158,1965,107,136,30
UnusedStatement,2856,208.0,0.07282913165266107,0.20895522388059698,0.2755905511811024,0.16826923076923078,0.6306083691610505,0.9072128851540616,0.25221700582110496,2556,92,173,35
VariableRenaming,14361,1046.0,0.07283615347120674,0.2393530997304582,0.27441285537700866,0.21223709369024857,0.6838382221060652,0.9017477891511733,0.27201378450507907,12728,587,824,222
