,number examples,sum bug,%bug,f1_score,precision_score,recall_score,roc_auc_score,accuracy_score,pr_auc_score,tn,fp,fn,tp
Real data,4066,404.0,0.09936055090998523,0.3556818181818181,0.2308259587020649,0.7747524752475248,0.8161983388398917,0.7211018199704871,0.5139795760500531,2619,1043,91,313
BooleanExchange,157,29.0,0.1847133757961784,0.3118279569892473,0.1847133757961784,1.0,0.51171875,0.1847133757961784,0.5923566878980892,0,128,0,29
LoopExchange,370,122.0,0.3297297297297297,0.497907949790795,0.3342696629213483,0.9754098360655736,0.6716684294024324,0.35135135135135137,0.6588938035475151,11,237,3,119
PermuteStatement,284,91.0,0.3204225352112676,0.4853333333333334,0.3204225352112676,1.0,0.7278653988498548,0.3204225352112676,0.6602112676056338,0,193,0,91
ReorderCondition,9048,2572.0,0.28426171529619804,0.5278294704787684,0.4672057502246181,0.6065318818040435,0.7382473701197964,0.6915340406719717,0.5927927771107058,4697,1779,1012,1560
SwitchToIf,94,11.0,0.11702127659574467,0.26506024096385544,0.1527777777777778,1.0,0.6856516976998904,0.35106382978723405,0.5763888888888888,22,61,0,11
TryCatch,3313,977.0,0.2948988831874434,0.4554778554778554,0.2948988831874434,1.0,0.6659583082121675,0.2948988831874434,0.6474494415937218,0,2336,0,977
UnusedStatement,4934,1332.0,0.2699635184434536,0.4251516118736035,0.2699635184434536,1.0,0.5518308772403719,0.2699635184434536,0.6349817592217268,0,3602,0,1332
VariableRenaming,20030,5476.0,0.27338991512730904,0.4953501400560223,0.35728139647648294,0.8073411249086925,0.7287959700821495,0.5502745881178233,0.6086467574474554,6601,7953,1055,4421
