,number examples,sum bug,%bug,f1_score,precision_score,recall_score,roc_auc_score,accuracy_score,pr_auc_score,tn,fp,fn,tp
Real data,3376,107.0,0.03169431279620853,0.2416107382550336,0.147239263803681,0.6728971962616822,0.8523098606850533,0.8661137440758294,0.4152518793217812,2852,417,35,72
BooleanExchange,329,61.0,0.18541033434650456,0.4,0.27011494252873564,0.7704918032786885,0.6873623684854416,0.5714285714285714,0.541579968648393,141,127,14,47
LoopExchange,1209,221.0,0.1827956989247312,0.0,0.0,0.0,0.6494953010790114,0.8172043010752689,0.5913978494623656,988,0,221,0
PermuteStatement,512,80.0,0.15625,0.0,0.0,0.0,0.7661747685185185,0.84375,0.578125,432,0,80,0
ReorderCondition,13092,1808.0,0.13809960281087688,0.04733727810650888,0.8627450980392157,0.02433628318584071,0.7053447908072517,0.8647265505652306,0.5109100764970379,11277,7,1764,44
SwitchToIf,432,77.0,0.17824074074074073,0.3898305084745763,0.5609756097560976,0.2987012987012987,0.6414121090177428,0.8333333333333334,0.4923384542286982,337,18,54,23
TryCatch,2542,294.0,0.11565696302124312,0.2715105162523901,0.31004366812227074,0.2414965986394557,0.7068142203500617,0.8501180173092053,0.3196332333021851,2090,158,223,71
UnusedStatement,3476,404.0,0.11622554660529345,0.287856071964018,0.1696113074204947,0.9504950495049505,0.7492055357879538,0.4533947065592635,0.5629300484282003,1192,1880,20,384
VariableRenaming,18982,2402.0,0.1265409335159625,0.35444482483167866,0.24414400251532778,0.6465445462114904,0.7509120867311017,0.7019808239384681,0.4677075659027622,11772,4808,849,1553
