,number examples,sum bug,%bug,f1_score,precision_score,recall_score,roc_auc_score,accuracy_score,pr_auc_score,tn,fp,fn,tp
Real data,1435,132.0,0.09198606271777003,0.0,0.0,0.0,0.8475255238493918,0.90801393728223,0.545993031358885,1303,0,132,0
BooleanExchange,88,26.0,0.2954545454545455,0.0,0.0,0.0,0.7537220843672457,0.7045454545454546,0.6477272727272727,62,0,26,0
LoopExchange,568,86.0,0.15140845070422534,0.2926829268292683,0.1721311475409836,0.9767441860465116,0.6970471871079802,0.2852112676056338,0.5761982301740293,78,404,2,84
PermuteStatement,158,32.0,0.20253164556962025,0.3786982248520711,0.2335766423357664,1.0,0.6783234126984127,0.3354430379746836,0.6167883211678832,21,105,0,32
ReorderCondition,3713,563.0,0.15162941018044707,0.0,0.0,0.0,0.8097076320166906,0.8483705898195529,0.5758147050902236,3150,0,563,0
SwitchToIf,49,8.0,0.16326530612244894,0.5,0.3333333333333333,1.0,0.9085365853658538,0.6734693877551021,0.6666666666666666,25,16,0,8
TryCatch,1857,321.0,0.172859450726979,0.0,0.0,0.0,0.7547540238836968,0.8271405492730209,0.5864297253634895,1536,0,321,0
UnusedStatement,3521,641.0,0.1820505538199375,0.4061841180604357,0.2621315192743764,0.9017160686427456,0.8095754246836541,0.5200227208179494,0.5908701160261556,1253,1627,63,578
VariableRenaming,6790,1174.0,0.17290132547864506,0.0,0.0,0.0,0.7868412287598829,0.8270986745213549,0.5864506627393226,5616,0,1174,0
