,number examples,sum bug,%bug,f1_score,precision_score,recall_score,roc_auc_score,accuracy_score,pr_auc_score,tn,fp,fn,tp
Real data,962,95.0,0.09875259875259876,0.2874617737003058,0.2025862068965517,0.4947368421052632,0.7293874825471984,0.7577962577962578,0.3736095494489324,682,185,48,47
BooleanExchange,138,33.0,0.2391304347826087,0.39520958083832336,0.2462686567164179,1.0,0.6989898989898988,0.26811594202898553,0.6231343283582089,4,101,0,33
LoopExchange,1202,332.0,0.2762063227953411,0.0,0.0,0.0,0.7962574435673729,0.7237936772046589,0.6381031613976705,870,0,332,0
PermuteStatement,240,74.0,0.3083333333333333,0.0,0.0,0.0,0.7954249430153044,0.6916666666666667,0.6541666666666667,166,0,74,0
ReorderCondition,11271,2950.0,0.26173365273711297,0.0,0.0,0.0,0.7764127926280047,0.7382663472628871,0.6308668263685565,8321,0,2950,0
SwitchToIf,75,9.0,0.12,0.0,0.0,0.0,0.6750841750841751,0.88,0.56,66,0,9,0
TryCatch,2347,445.0,0.1896037494674052,0.4753086419753087,0.43833017077798864,0.5191011235955056,0.7841526955658739,0.7827013208351087,0.5243057622272244,1606,296,214,231
UnusedStatement,4239,881.0,0.2078320358575136,0.0,0.0,0.0,0.7648071692855389,0.7921679641424865,0.6039160179287568,3358,0,881,0
VariableRenaming,13934,3260.0,0.2339600976029855,0.0,0.0,0.0,0.7742932198070882,0.7660399023970145,0.6169800488014927,10674,0,3260,0
