,number examples,sum bug,%bug,f1_score,precision_score,recall_score,roc_auc_score,accuracy_score,pr_auc_score,tn,fp,fn,tp
Real data,3376,107.0,0.03169431279620853,0.25641025641025644,0.1951219512195122,0.37383177570093457,0.8068731184763125,0.9312796208530806,0.29439984924221385,3104,165,67,40
BooleanExchange,329,61.0,0.18541033434650456,0.5766871165644172,0.4607843137254902,0.7704918032786885,0.8372277954489845,0.7902735562310029,0.6369146542467702,213,55,14,47
LoopExchange,1209,221.0,0.1827956989247312,0.3289224952741021,0.2824675324675325,0.3936651583710407,0.6604502903621742,0.7063688999172869,0.3934840459982775,767,221,134,87
PermuteStatement,512,80.0,0.15625,0.4444444444444445,0.3622047244094488,0.575,0.7679108796296296,0.775390625,0.5018054872047244,351,81,34,46
ReorderCondition,13092,1808.0,0.13809960281087688,0.3115715402658327,0.2409310761789601,0.4408185840707965,0.6878943342911727,0.730980751604033,0.3794861958444016,8773,2511,1011,797
SwitchToIf,432,77.0,0.17824074074074073,0.1564245810055866,0.13725490196078433,0.18181818181818185,0.465630144503384,0.6504629629629629,0.2324532085561497,267,88,63,14
TryCatch,2542,294.0,0.11565696302124312,0.2334869431643625,0.1507936507936508,0.5170068027210885,0.6205107487834991,0.6073957513768686,0.36183098993596907,1392,856,142,152
UnusedStatement,3476,404.0,0.11622554660529345,0.2790697674418605,0.20021528525296015,0.4603960396039604,0.7090738126547029,0.7235327963176065,0.3616635450521657,2329,743,218,186
VariableRenaming,18982,2402.0,0.1265409335159625,0.2957106812447434,0.2480948348856901,0.3659450457951707,0.7377970232887954,0.7794226108945317,0.34713689324318037,13916,2664,1523,879
