,number examples,sum bug,%bug,f1_score,precision_score,recall_score,roc_auc_score,accuracy_score,pr_auc_score,tn,fp,fn,tp
Real data,962,95.0,0.09875259875259876,0.30914826498422715,0.22072072072072071,0.5157894736842106,0.7280033995022158,0.7723492723492723,0.3921636211109896,694,173,46,49
BooleanExchange,138,33.0,0.2391304347826087,0.4814814814814815,0.3466666666666667,0.7878787878787878,0.6911976911976913,0.5942028985507246,0.592635046113307,56,49,7,26
LoopExchange,1202,332.0,0.2762063227953411,0.565262076053443,0.4290171606864275,0.8283132530120482,0.8078244010524858,0.6480865224625624,0.652375689378356,504,366,57,275
PermuteStatement,240,74.0,0.3083333333333333,0.5948717948717949,0.4793388429752066,0.7837837837837838,0.7660371214588082,0.6708333333333333,0.6648946467128285,103,63,16,58
ReorderCondition,11271,2950.0,0.26173365273711297,0.5172413793103449,0.3954447632711621,0.7474576271186439,0.7600465638297222,0.6348150119776418,0.6045006140574708,4950,3371,745,2205
SwitchToIf,75,9.0,0.12,0.3272727272727273,0.1956521739130435,1.0,0.8400673400673401,0.5066666666666667,0.5978260869565217,29,37,0,9
TryCatch,2347,445.0,0.1896037494674052,0.4576376004947434,0.31569965870307165,0.8314606741573034,0.7985786694077199,0.6263314870046869,0.5895580104864294,1100,802,75,370
UnusedStatement,4239,881.0,0.2078320358575136,0.4740793707543798,0.3460334029227557,0.7525539160045402,0.784980587466595,0.6529841943854683,0.5750072711645209,2105,1253,218,663
VariableRenaming,13934,3260.0,0.2339600976029855,0.47894869004771073,0.3293426959825026,0.8776073619631902,0.765599053258247,0.553251040620066,0.6177925257433359,4848,5826,399,2861
