,number examples,sum bug,%bug,f1_score,precision_score,recall_score,roc_auc_score,accuracy_score,pr_auc_score,tn,fp,fn,tp
Real data,1827,165.0,0.090311986863711,0.4116424116424117,0.31329113924050633,0.6,0.8373846770958684,0.8451012588943624,0.4747079669929953,1445,217,66,99
BooleanExchange,214,23.0,0.10747663551401868,0.1791044776119403,0.13636363636363635,0.2608695652173913,0.701115410880947,0.7429906542056075,0.2383362269587381,153,38,17,6
LoopExchange,744,90.0,0.12096774193548387,0.3954372623574144,0.3005780346820809,0.5777777777777777,0.7802072714916751,0.7862903225806451,0.4647155406385315,533,121,38,52
PermuteStatement,487,50.0,0.1026694045174538,0.31884057971014496,0.25,0.44,0.7674141876430206,0.8069815195071869,0.3737474332648871,371,66,28,22
ReorderCondition,11487,1314.0,0.11439018020370854,0.3700023657440265,0.2684517679368349,0.5951293759512938,0.7633728730406883,0.7681727169844171,0.454947183766124,8042,2131,532,782
SwitchToIf,67,4.0,0.05970149253731344,0.21052631578947367,0.1176470588235294,1.0,0.6587301587301587,0.5522388059701493,0.5588235294117647,33,30,0,4
TryCatch,2912,398.0,0.13667582417582416,0.3835246455097907,0.2622345337026777,0.7135678391959799,0.7663966211327121,0.6864697802197802,0.5074753622735046,1715,799,114,284
UnusedStatement,3880,463.0,0.1193298969072165,0.4041297935103244,0.3068309070548712,0.591792656587473,0.7906743755495171,0.7917525773195876,0.4736674519242649,2798,619,189,274
VariableRenaming,18966,2407.0,0.12691131498470948,0.3945090279495424,0.28085930621588306,0.6626506024096386,0.7693097283816981,0.7418538437203417,0.493161682141507,12475,4084,812,1595
